Var1,Var2,Var3,Var4
time(s),current(A),power(W),voltage(V)
0,0.481591796,242,502.500255
0.1,5.45474496,2730.57365,500.590564
0.2,10.4290703,5200.74678,498.680423
0.3,15.4046002,7652.44519,496.76982
0.4,17.9147102,8882.19862,495.805937
0.5,19.8819023,9842.39693,495.050536
0.6,21.6876883,10721.1851,494.357114
0.7,23.4212673,11562.5816,493.691419
0.8,25.317882,12480.3807,492.963119
0.9,27.2839626,13429.0565,492.208144
1,29.1271319,14315.6814,491.500367
1.1,30.9483757,15189.1757,490.80101
1.2,32.7342253,16043.2548,490.115244
1.3,34.3598714,16818.6347,489.490995
1.4,35.5707774,17394.9617,489.026008
1.5,36.2920542,17737.679,488.749037
1.6,36.6138565,17890.4622,488.625465
1.7,36.474891,17824.493,488.678828
1.8,35.8675752,17536.017,488.912037
1.9,35.3186602,17275.1599,489.122821
2,35.0464876,17145.6852,489.227335
2.1,34.7547152,17006.8477,489.339375
2.2,34.7661628,17012.2945,489.33498
2.3,35.0213657,17133.7396,489.236982
2.4,36.3068614,17744.1589,488.743351
2.5,39.2545593,19139.5512,487.605594
2.6,43.3379035,21060.762,486.016762
2.7,46.2931174,22445.1742,484.850691
2.8,46.9284036,22740.2774,484.574218
2.9,45.4760043,22059.1826,485.099703
3,39.8024375,19387.4805,487.248601
3.1,31.887151,15630.1885,490.262738
3.2,25.6251136,12621.6558,492.647491
3.3,21.3225685,10538.3099,494.28329
3.4,19.8851756,9839.57891,494.820873
3.5,20.5355288,10155.892,494.557036
3.6,22.9897456,11347.0338,493.599432
3.7,26.5709667,13077.277,492.206953
3.8,31.0362047,15220.6595,490.472204
3.9,31.525052,15455.4601,490.262661
4,0.481908534,242,502.169982
4.1,0.481908857,242,502.169645
4.2,0.48190918,242,502.169309
4.3,0.481909503,242,502.168973
4.4,0.481909826,242,502.168636
4.5,0.481910148,242,502.1683
4.6,0.481910471,242,502.167964
4.7,0.481910794,242,502.167627
4.8,0.481911117,242,502.167291
4.9,0.48191144,242,502.166954
5,0.481911762,242,502.166618
5.1,0.481912085,242,502.166282
5.2,0.481912408,242,502.165945
5.3,0.565085904,283.744468,502.133641
5.4,1.23015802,617.216591,501.877627
5.5,2.95407471,1480.15019,501.214184
5.6,4.75736361,2381.04635,500.519031
5.7,6.32245368,3160.17897,499.914171
5.8,9.31968429,4646.78495,498.757777
5.9,13.9907866,6949.82742,496.955941
6,20.6705276,10212.8701,494.378829
6.1,30.2280101,14820.1518,490.690998
6.2,38.3118338,18678.8387,487.562899
6.3,35.4300353,17308.258,488.643199
6.4,24.4975279,12071.398,492.820368
6.5,18.9193928,9363.32452,494.947531
6.6,17.8379372,8836.02308,495.350055
6.7,20.8597853,10308.2293,494.176179
6.8,25.3731496,12494.3508,492.426835
6.9,26.8080448,13185.735,491.857605
7,27.3976878,13468.8894,491.612272
7.1,29.5805988,14515.79,490.75415
7.2,33.8694878,16563.01,489.085059
7.3,37.9802121,18514.2684,487.481424
7.4,40.1525279,19538.592,486.619991
7.5,43.0176919,20883.568,485.490762
7.6,45.9996226,22277.7714,484.314637
7.7,47.0841466,22782.4011,483.865687
7.8,47.1102204,22792.9994,483.822812
7.9,47.1050819,22789.0578,483.791917
8,47.0870839,22779.1288,483.765967
8.1,47.0431898,22757.1423,483.749983
8.2,47.0228738,22746.1381,483.724967
8.3,47.0388183,22752.0192,483.686029
8.4,48.8421213,23588.7943,482.960108
8.5,49.1756266,23741.8863,482.79784
8.6,49.1481438,23727.4505,482.774091
8.7,49.1395947,23721.7994,482.743085
8.8,41.0175283,19889.8537,485.829468
8.9,2.56809754,1279.52101,500.577024
9,0.48267071,242,501.377015
9.1,0.482671035,242,501.376678
9.2,0.482671359,242,501.376341
9.3,0.482671683,242,501.376004
9.4,0.482672008,242,501.375668
9.5,0.482672332,242,501.375331
9.6,0.482672656,242,501.374994
9.7,0.482672981,242,501.374657
9.8,0.482673305,242,501.37432
9.9,0.482673629,242,501.373983
10,0.482673954,242,501.373646
10.1,0.482674278,242,501.373309
10.2,0.482674602,242,501.372972
10.3,0.482674927,242,501.372635
10.4,0.511477377,256.431352,501.361228
10.5,0.830266687,416.161457,501.238345
10.6,0.76829754,385.11525,501.261584
10.7,0.482676669,242,501.370826
10.8,0.603460188,302.466383,501.324066
10.9,2.16861996,1085.67763,500.722077
11,4.81598392,2406.29811,499.703053
11.1,7.80684616,3891.88642,498.550158
11.2,10.5340388,5240.44689,497.496518
11.3,13.1756685,6541.13836,496.47386
11.4,15.9568643,7904.83919,495.395718
11.5,17.9616355,8884.00795,494.614052
11.6,19.4981906,9632.24462,494.010947
11.7,21.0450472,10383.6523,493.402809
11.8,22.0887684,10889.4469,492.986972
11.9,22.9960579,11328.3815,492.622844
12,23.2053924,11429.2665,492.526342
12.1,23.0357535,11346.8421,492.575351
12.2,22.851972,11257.5291,492.629914
12.3,24.5130419,12057.946,491.975539
12.4,32.1369942,15715.5857,489.028178
12.5,32.270627,15744.1951,488.954393
12.6,0.482889877,242,501.149458
12.7,0.482890202,242,501.149121
12.8,0.482890526,242,501.148784
12.9,0.482890851,242,501.148447
13,0.482891176,242,501.14811
13.1,0.482891501,242,501.147773
13.2,0.482891826,242,501.147435
13.3,0.48289215,242,501.147098
13.4,0.482892475,242,501.146761
13.5,0.4828928,242,501.146424
13.6,0.882113607,441.877679,500.992647
13.7,1.93640017,969.168997,500.586818
13.8,3.32339576,1661.67104,500.052377
13.9,6.34968702,3165.88689,498.886906
14,10.3763265,5159.22022,497.334841
14.1,13.7727732,6830.6373,496.022181
14.2,16.8943075,8358.59934,494.812813
14.3,20.3258941,10029.1133,493.482099
14.4,22.8796164,11267.6801,492.486396
14.5,24.4738255,12037.3613,491.8577
14.6,25.9620509,12754.1699,491.268626
14.7,28.3865875,13917.3398,490.318643
14.8,32.5477176,15903.7972,488.699511
14.9,36.8512153,17945.9475,487.022757
15,40.0854434,19470.9488,485.753973
15.1,42.4737805,20591.1877,484.808049
15.2,44.2855301,21437.5915,484.082069
15.3,45.4583418,21983.5977,483.600401
15.4,46.1793271,22318.0388,483.291573
15.5,46.6409269,22531.3764,483.081936
15.6,46.8496661,22626.9422,482.969164
15.7,46.8590171,22629.7602,482.932881
15.8,47.0410306,22712.8121,482.830229
15.9,47.2586672,22812.4083,482.713759
16,47.2469167,22805.3924,482.685301
16.1,47.2188614,22790.8028,482.663118
16.2,47.2131982,22786.6168,482.632348
16.3,47.1852037,22772.0591,482.610165
16.4,47.1455323,22752.08,482.59249
16.5,47.1387627,22747.3846,482.562197
16.6,47.43901,22885.2047,482.413906
16.7,48.543591,23395.6291,481.956262
16.8,49.282779,23736.4733,481.638285
16.9,49.2609669,23724.6868,481.612282
17,49.2626584,23723.7759,481.577261
17.1,49.2728908,23726.8163,481.538955
17.2,49.2720127,23724.7162,481.504913
17.3,49.2613716,23718.1005,481.474624
17.4,49.2421584,23707.521,481.447637
17.5,48.7882229,23495.7503,481.587749
17.6,42.7774074,20687.7155,483.863957
17.7,18.068181,8780.7245,493.331073
17.8,0.483925519,242,500.076955
17.9,0.483925846,242,500.076617
18,0.483926173,242,500.076279
18.1,0.4839265,242,500.075942
18.2,0.483926827,242,500.075604
18.3,0.483927153,242,500.075266
18.4,0.48392748,242,500.074928
18.5,0.483927807,242,500.07459
18.6,0.483928134,242,500.074253
18.7,0.483928461,242,500.073915
18.8,0.483928788,242,500.073577
18.9,0.483929115,242,500.073239
19,0.483929442,242,500.072902
19.1,0.483929768,242,500.072564
19.2,0.483930095,242,500.072226
19.3,0.483930422,242,500.071888
19.4,2.33792565,1166.28437,499.35897
19.5,5.50271671,2740.34462,498.140954
19.6,8.48811654,4217.58234,496.98968
19.7,13.1079263,6487.71995,495.208139
19.8,20.6117925,10139.9371,492.31489
19.9,30.4974343,14886.8186,488.500974
20,40.0253934,19398.2116,484.817634
20.1,45.0242002,21740.3795,482.868421
20.2,44.3250783,21412.8159,483.105713
20.3,40.7277627,19729.317,484.457409
20.4,38.206162,18545.0827,485.398166
20.5,38.780388,18813.8958,485.150805
20.6,41.6240527,20146.127,484.030787
